Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,I1_5,SimpleRepeat_triTR_15to50_slop5,PASS,*,QUAL,*,0.956156,0.962847,0.317785,0.95949,68,33,3011899.000000,2374377.000000,0.000000,3330,.,.,1926.000000,851.000000,,2.26321974148,3184,.,.,1828.000000,850.000000,,2.15058823529,146,.,.,98.000000,1.000000,,98.0,4695,.,.,3073.000000,1293.000000,,2.37664346481,3084,.,.,2035.000000,828.000000,,2.4577294686,119,.,.,39.000000,74.000000,,0.527027027027,1492,.,.,999.000000,391.000000,,2.55498721228
INDEL,I1_5,SimpleRepeat_triTR_51to200_slop5,ALL,*,QUAL,*,0.727273,0.75,0.68932,0.738462,5,2,58070.000000,13641.000000,0.000000,33,.,.,6.000000,2.000000,,3.0,24,.,.,6.000000,2.000000,,3.0,9,.,.,0.000000,0.000000,,,103,.,.,77.000000,14.000000,,5.5,24,.,.,21.000000,2.000000,,10.5,8,.,.,4.000000,3.000000,,1.33333333333,71,.,.,52.000000,9.000000,,5.77777777778
INDEL,I1_5,SimpleRepeat_triTR_51to200_slop5,PASS,*,QUAL,*,0.727273,0.75,0.68932,0.738462,5,2,58070.000000,13641.000000,0.000000,33,.,.,6.000000,2.000000,,3.0,24,.,.,6.000000,2.000000,,3.0,9,.,.,0.000000,0.000000,,,103,.,.,77.000000,14.000000,,5.5,24,.,.,21.000000,2.000000,,10.5,8,.,.,4.000000,3.000000,,1.33333333333,71,.,.,52.000000,9.000000,,5.77777777778
INDEL,I1_5,SimpleRepeat_triTR_gt200_slop5,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,1270.000000,0.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,I1_5,SimpleRepeat_triTR_gt200_slop5,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,1270.000000,0.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,I1_5,TS_boundary,ALL,*,QUAL,*,0.932088,0.956693,0.74676,0.94423,27,17,3030848912.000000,2546914956.000000,0.000000,1178,.,.,135.000000,59.000000,,2.28813559322,1098,.,.,131.000000,58.000000,,2.25862068966,80,.,.,4.000000,1.000000,,4.0,4012,.,.,3942.000000,59.000000,,66.813559322,972,.,.,960.000000,12.000000,,80.0,44,.,.,28.000000,14.000000,,2.0,2996,.,.,2954.000000,33.000000,,89.5151515152
INDEL,I1_5,TS_boundary,PASS,*,QUAL,*,0.932088,0.956693,0.74676,0.94423,27,17,3030848912.000000,2546914956.000000,0.000000,1178,.,.,135.000000,59.000000,,2.28813559322,1098,.,.,131.000000,58.000000,,2.25862068966,80,.,.,4.000000,1.000000,,4.0,4012,.,.,3942.000000,59.000000,,66.813559322,972,.,.,960.000000,12.000000,,80.0,44,.,.,28.000000,14.000000,,2.0,2996,.,.,2954.000000,33.000000,,89.5151515152
INDEL,I1_5,TS_contained,ALL,*,QUAL,*,0.976391,0.970312,0.0,0.973342,3003,1359,2546914956.000000,2546914956.000000,0.000000,231776,.,.,123876.000000,89227.000000,,1.38832416197,226304,.,.,120289.000000,88993.000000,,1.35166810873,5472,.,.,3587.000000,234.000000,,15.3290598291,231640,.,.,131524.000000,91322.000000,,1.44022250936,224763,.,.,127920.000000,88493.000000,,1.44553806516,6877,.,.,3604.000000,2829.000000,,1.27394839166,0,.,.,0.000000,0.000000,,
INDEL,I1_5,TS_contained,PASS,*,QUAL,*,0.976391,0.970312,0.0,0.973342,3003,1359,2546914956.000000,2546914956.000000,0.000000,231776,.,.,123876.000000,89227.000000,,1.38832416197,226304,.,.,120289.000000,88993.000000,,1.35166810873,5472,.,.,3587.000000,234.000000,,15.3290598291,231640,.,.,131524.000000,91322.000000,,1.44022250936,224763,.,.,127920.000000,88493.000000,,1.44553806516,6877,.,.,3604.000000,2829.000000,,1.27394839166,0,.,.,0.000000,0.000000,,
INDEL,I1_5,VDJ,ALL,*,QUAL,*,0.0,,1.0,,0,0,3348717.000000,0.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,258,.,.,127.000000,128.000000,,0.9921875,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,258,.,.,127.000000,128.000000,,0.9921875
